,course_name,covered_concepts
0,Linear Algebra and Analytic Geometry,"['linear algebra', 'matrix calculus', 'analytic geometry', 'matrix theory']"
1,Mathematical analysis 1,"['function (mathematics)', 'injection (mathematics)', 'surjection', 'bijection', 'mathematical induction', 'real function', 'number sequence', 'limit (mathematics)', 'convergence (mathematics)', 'cauchy sequence', 'infinitesimal', 'continuity (mathematics)', 'derivative', 'differential (calculus)', 'differentiation', 'mean value theorem', ""rolle's theorem"", ""l'hôpital's rule"", 'extremum', ""taylor's theorem"", 'concavity', 'convexity', 'point of inflection', 'asymptote', 'integral', 'integration by parts', 'rational function', 'riemann integral', 'monotonic function', 'series (mathematics)', 'convergence test', 'cauchy product', 'functional sequence', 'uniform convergence', 'power series', 'analytic function', 'orthogonal series', 'fourier series', ""bessel's inequality"", ""parseval's identity"", 'fourier trigonometric series', 'differentiability', 'frechet derivative', 'gradient', 'partial derivative', 'jacobi matrix', 'implicit function theorem', ""schwarz's theorem"", 'lagrange multiplier', 'double integral', 'triple integral', 'jordan measure', 'iterated integral', 'polar coordinate system', 'spherical coordinate system', 'cylindrical coordinate system', 'line integral', ""green's theorem"", 'surface integral', 'gauss-ostrogradski theorem', ""stokes' theorem""]"
2,Introduction to Computer Science,"['computer science', 'algorithm', 'computational complexity', 'formal language', 'formal grammar', 'chomsky hierarchy', 'grammatical parsing', 'compiler', 'programming paradigm', 'information theory', 'entropy', 'data compression', 'shannon coding', 'fano coding', 'huffman coding', 'channel capacity', 'kolmogorov complexity', 'computer network', 'network topology', 'ethernet', 'wifi', 'bluetooth', 'osi model', 'network protocol', 'application programming', 'modeling', 'simulation', 'embedded system', 'ubiquitous computing', 'multimedia system', 'regular language', 'context-free language']"
3,Logic for IT specialists,"['logic', 'formal language', 'syntax', 'semantics', 'interpretation', 'model (logic)', 'deduction', 'logical consequence', 'hypothesis', 'theorem', 'tautology', 'inference', 'abduction', 'induction', 'propositional calculus', 'conjunctive normal form', 'disjunctive normal form', 'negation normal form', 'implicant', 'rule of inference', 'decision tree', 'ordered binary decision diagram', 'satisfiability', 'sat problem', 'predicate calculus', 'attribute logic', 'decision table', 'rule-based system', 'automatic theorem proving', 'resolution (logic)', 'substitution (logic)', 'unification (computer science)', 'skolemization', 'logical programming', 'prolog', 'multi-valued logic', 'fuzzy logic', 'modal logic', 'temporal logic', 'quantifier', 'predicate', 'function (mathematics)', 'first-order logic']"
4,Programming Basics 1,"['c', 'syntax', 'variable (programming)', 'variable scope', 'pointer (computer programming)', 'operator (programming)', 'control flow', 'function (programming)', 'recursion', 'array data structure', 'string (computer science)', 'structure (computer science)', 'dynamic memory allocation', 'list', 'tree data structure', 'library (computing)']"
5,Introduction to Unix Systems,"['shell', 'bash', 'regular expression', 'data processing', 'networking', 'vi', 'emacs', 'make', 'programming', 'process (computing)', 'thread (computing)', 'debugging', 'version control', 'file system', 'process management', 'inter-process communication', 'interactive data processing']"
6,Computer architectures,"['combinational circuit', 'logic gate', 'arithmetic circuit', 'encoder', 'decoder', 'multiplexer', 'demultiplexer', 'rom', 'sequential circuit', 'flip-flop', 'register', 'counter', 'ram', 'vhdl', 'fpga', 'electronic schematic', 'alu', 'computer architecture', 'microprogrammed control', 'parallel processing']"
7,IT tools,"['latex', 'document class', 'bibliography', 'version control system', 'git', 'subversion', 'knowledge base', 'wiki', 'kanban', 'scrum']"
8,Physics 1,"['physics', 'differential calculus', 'integral calculus', 'vector calculus', 'si unit', 'scalar (physics)', 'vector (physics)', 'kinematics', 'curvilinear motion', 'position vector', 'displacement (vector)', 'velocity', 'acceleration', 'circular motion', 'free fall', 'dynamics', ""newton's laws of motion"", 'mass', 'weight', 'friction', 'inertial frame of reference', 'non-inertial frame of reference', 'centrifugal force', 'coriolis effect', 'work (physics)', 'power (physics)', 'energy', 'kinetic energy', 'potential energy', 'conservative force', 'principle of conservation of energy', 'center of mass', 'principle of conservation of momentum', 'gravity', 'gravitational field', 'gravitational potential', ""gauss's law"", ""kepler's laws of planetary motion"", 'gravitational acceleration', 'rigid body dynamics', 'center of mass', 'moment of inertia', ""steiner's theorem"", 'vibration', 'harmonic oscillator', 'stress (mechanics)', 'strain (mechanics)', ""hooke's law"", 'damped oscillation', 'forced oscillation', 'resonance', 'pendulum', 'mechanical wave', 'wave equation', 'standing wave', 'acoustics', 'doppler effect', 'hydrostatics', 'hydrodynamics', 'pressure', ""pascal's law"", ""archimedes' principle"", ""bernoulli's principle"", 'viscosity', 'kinetic theory of gases', 'thermodynamics', 'internal energy', 'entropy', 'equation of state', 'maxwell distribution', 'specific heat capacity', 'molar heat capacity', 'equipartition theorem']"
9,Probability and Statistics,"['probability theory', 'statistics', 'descriptive statistics', 'data analysis', 'data visualization', 'probability', ""bayes' rule"", 'random variable', 'normal distribution', 'marginal distribution', 'probabilistic model', 'statistical inference', 'point estimation', 'interval estimation', 'statistical hypothesis testing', 'nonparametric test', 'rank method', 'analysis of variance', 'multivariate statistics', 'discriminant analysis', 'dimensionality reduction', 'monte carlo method', 'random number generator', 'bootstrap method']"
