course_name,prerequisite_concepts,content_concepts
Linear Algebra and Analytic Geometry,"['information', 'knowledge']","['algebra', 'geometry', 'matrix']"
Mathematical analysis 1,[],"['function', 'arithmetic', 'continuity', 'point', 'solid', 'series', 'class', 'orientation', 'condition', 'composition', 'matrix', 'product', 'conclusion', 'power', 'map']"
Introduction to Computer Science,[],"['computer', 'meaning', 'uncertainty', 'computer science', 'computational complexity', 'scope', 'structure', 'computing', 'information theory', 'algorithm', 'transmission', 'compiler construction', 'scale', 'information', 'grammar', 'concept', 'operation', 'entropy', 'context', 'taxonomy', 'model', 'parsing']"
Logic for IT specialists,"['graph theory', 'discrete mathematics', 'material', 'field', 'agreement', 'algebra', 'literature', 'learning', 'activity', 'knowledge', 'terms and conditions', 'work', 'english']","['information', 'attribute', 'decision', 'resolution', 'language', 'logic', 'scope', 'formal language', 'syntax', 'interpretation', 'classical logic', 'model', 'semantics', 'concept', 'function']"
Programming Basics 1,[],"['language', 'scope', 'control', 'syntax', 'memory', 'implementation', 'data']"
Introduction to Unix Systems,[],"['process management', 'communication', 'control', 'debugging', 'data', 'system analysis']"
Computer architectures,[],"['computer', 'language', 'logic', 'control', 'memory', 'architecture', 'arithmetic', 'design']"
IT tools,[],"['business', 'information', 'cooperation', 'document', 'structure', 'organization', 'control', 'software', 'bibliography', 'control system', 'concept', 'service', 'knowledge', 'architecture', 'system', 'work', 'website', 'text']"
Physics 1,['knowledge'],"['point', 'continuity', 'heat', 'potential', 'equation of state', 'internal energy', 'work', 'friction', ""bernoulli's principle"", 'solid', 'rigid body', 'stress', 'distribution', 'interpretation', 'system', 'inertia', 'composition', 'thermodynamics', 'material', 'phase', 'field', 'harmonic', 'law', 'power', 'entropy', 'science', 'real gas', 'flux', 'vector calculus']"
Probability and Statistics,[],"['data analysis', 'point', 'statistics', 'sample', 'data visualization', 'descriptive statistics', 'event', 'distribution', 'selection', 'interval', 'data', 'measurement']"
Discrete mathematics,[],"['combinatorics', 'graph theory', 'logic']"
Graph theory,[],"['flow', ""brooks' theorem"", 'spanning tree', 'perfect matching', ""kuratowski's theorem"", 'graph', 'edge']"
Programming Basics 2,"['syntax', 'semantics', 'function', 'language']","['library', 'class', 'interface', 'association', 'syntax', 'adaptation', 'cloning', 'memory', 'implementation', 'composition', 'matrix', 'function', 'map']"
Algorithms and data structures,"['set theory', 'logic', 'knowledge']","['tree', 'completeness', 'computational complexity', 'constructing', 'algorithm', 'concept', 'selection', 'memory', 'graph', 'search', 'data', 'text']"
Basics of computer graphics,[],"['computer', 'information', 'library', 'part', 'series', 'sample', 'digital', 'field', 'color', 'topic', 'emphasis', 'issue', 'process', 'model', 'computer graphics', 'arithmetic', 'software', 'representation']"
Introduction to Intelligent Systems,[],"['machine learning', 'learning']"
Operational research,"['discrete mathematics', 'mathematical analysis', 'matrix']","['scope', 'issue', 'research']"
Physics 2,[],"['uncertainty', 'atom', 'potential', 'radiation', 'interference', 'solid', 'optics', 'distribution', 'calculating', 'atomic physics', 'magnetism', 'field', 'temperature', 'law', 'atomic', 'electrical conductivity', 'flux', 'model', 'function']"
Elements of modern physics,"['mathematical analysis', 'classical physics', 'knowledge']","['mechanics', 'duality', 'nuclear physics', 'uncertainty', 'structure', 'stars', 'nature', 'atom', 'interaction', 'crystal', 'spin', 'condensed matter', 'interpretation', 'model', 'atomic physics', 'radiation', 'function']"
Advanced programming 1,"['paradigm', 'knowledge']","['block', 'technology', 'process', 'class', 'control', 'management', 'package', 'syntax', 'cloning', 'construction', 'implementation', 'composition', 'data', 'state diagram']"
Numerical methods,['knowledge'],"['initial', 'information', 'arithmetic', 'point', 'trust', 'optimization', 'conditioning', 'algorithm', 'interval', 'matrix', 'concept', 'representation', 'power', 'regression']"
Fundamentals of artificial intelligence,"['graph theory', 'logic', 'algebra', 'knowledge', 'linux', 'english']","['business', 'state space', 'decision', 'logic', 'ontology', 'history', 'search', 'machine learning', 'knowledge', 'concept', 'representation']"
Databases,"['discrete mathematics', 'logic', 'field', 'algebra', 'literature', 'knowledge', 'english']","['query', 'language', 'management system', 'relationship', 'management', 'selection', 'entity', 'database', 'architecture', 'model', 'design', 'data']"
Formal linguistics and automata,"['logic', 'translation', 'computational complexity', 'knowledge', 'process', 'set theory']","['design', 'meaning', 'decision', 'turing machine', 'language', 'verification', 'computational complexity', 'optimization', 'context', 'grammar', 'algorithm', 'knowledge', 'parsing', 'concept']"
Software Engineering,['knowledge'],"['aspect', 'software engineering', 'requirements engineering', 'class', 'scope', 'management', 'requirements analysis', 'architecture', 'solid', 'life', 'kiss', 'system', 'data', 'engineering', 'flow', 'phase', 'scenario', 'functionality', 'design', 'sample', 'context', 'selection', 'implementation', 'model', 'software']"
Advanced programming 2,['knowledge'],"['library', 'cooperation', 'work', 'language', 'event', 'concept', 'learning', 'database', 'environment', 'core']"
